name,Runs Analyzed,Broken >2 Days,Broken >4 Days,Max Broken Days
t5,82,0,0,1
EleutherAI-gpt-neox,500,2,2,249
Qwen,410,0,0,0
RWKV-LM,0,,,
OpenAI-CLIP,0,,,
openai-gpt-oss,10,0,0,0
Yalm,0,,,
Dbrx,0,,,
Yi,210,1,1,21
Deepseek-V3,182,0,0,0
Deepseek-Janus,0,,,
YuE,0,,,
ChronosForecasting,500,2,1,38
InternVideo,0,,,
lag-llama,0,,,
Otter,0,,,
Clay-foundation-model,238,0,0,1
whisper,130,4,2,21
microsoft-industrial-foundation-models,0,,,
microsoft-BioGPT,60,0,0,0
RadFM,0,,,
roberta_zh,0,,,
ChatGlm-6B,0,,,
R1-Omni,0,,,
OpenVoice,0,,,
seamless_communication,0,,,
timesfm,152,18,15,65
TabPFN,500,1,1,6
efficientvit,0,,,
ace-step,0,,,
ClimaX,0,,,
InternImage,0,,,
evo,0,,,
UNI,0,,,
microsoft-aurora,500,0,0,1
helicalAI-helical,500,0,0,2
bowang-lab-BioReason,4,0,0,0
NVlabs-MambaVision,0,,,
