language,total_sloc
C,7900040
TypeScript,2605582
JavaScript,1952281
Typst,1681542
C/C++ Header,1605523
Python,1589023
Ruby,1383209
PO File,1056412
CSS,600051
C#,503044
Java,419689
WebAssembly,415117
C++,407230
Go,359446
OCaml,345420
ActionScript,316964
SQL,294885
Vuejs Component,226078
Expect,198231
Solidity,196831
Kotlin,195776
Lua,189098
Freemarker Template,137398
Swift,122437
Dart,119664
Windows Module Definition,98637
Scheme,96901
Zig,96745
Qt Linguist,86263
Assembly,81920
Svelte,80251
make,76975
Starlark,75363
diff,74574
CUDA,69896
Fish Shell,69110
Nix,64686
Cairo,60706
Cython,56242
Slint,55552
Bourne Again Shell,51402
SCSS,49667
TLA+,48327
Scala,48279
yacc,44176
XML (Qt/GTK),35571
GLSL,33648
F#,31830
PowerShell,31465
JSX,30595
Metal,27853
WGSL,26347
Prolog,25985
HLSL,24081
Jupyter Notebook,22862
Handlebars,21698
m4,20977
Elixir,19124
Nickel,19098
Erlang,17155
zsh,16213
Linker Script,16168
C# Generated,16017
QML,15429
vim script,13942
PHP,12431
Astro,12305
Elixir Script,11106
Prisma Schema,10534
Tcl/Tk,10304
Bazel,10225
Maven,9964
LLVM IR,9452
Jinja Template,9395
Gradle,9298
Pascal,8570
GDScript,8194
HCL,6890
Mustache,6705
Logos,6677
Blueprint,6371
Luau,5668
WiX source,5297
Meson,5099
D,5064
Lisp,5061
Pest,4301
Nushell,3824
Haxe,3717
Gleam,3442
Verilog-SystemVerilog,3182
Racket,2978
Fortran 77,2928
Arduino Sketch,2857
TNSDL,2788
Cucumber,2738
R,2683
Objective-C,2434
Nim,2255
liquid,2086
Flatbuffers,2082
Fortran 90,2077
MSBuild script,2039
ERB,1854
Visual Studio Solution,1850
Godot Scene,1778
Unity-Prefab,1750
Gencat NLS,1739
JSON5,1719
Odin,1718
XSLT,1705
Perl,1560
LESS,1557
TableGen,1380
Haskell,1363
OpenCL,1145
ANTLR Grammar,1112
Objective-C++,1079
Ada,1068
Elm,993
Rego,941
AutoHotkey,901
XHTML,809
Org Mode,747
Jsonnet,737
XAML,730
NAnt script,673
Containerfile,628
Windows Resource File,602
CoffeeScript,578
Julia,563
MATLAB,526
Blade,500
Ruby HTML,485
sed,463
Coq,429
MoonBit,373
Godot Resource,358
EJS,338
OpenSCAD,328
Forth,317
JSP,306
IDL,291
Pawn,290
PlantUML,276
Nunjucks,261
Crystal,252
awk,246
Glade,239
Visual Basic,228
Razor,221
ReasonML,192
Groovy,192
Clojure,189
Lean,175
Idris,162
Stylus,160
Snakemake,159
Sass,140
VHDL,139
PL/M,136
WiX string localization,128
Puppet,123
PureScript,120
Brainfuck,117
ColdFusion,101
Vyper,101
RAML,99
WiX include,95
SaltStack,93
Windows Message File,86
Harbour,75
ASP,74
DTD,73
PEG,70
Standard ML,70
lex,60
Qt Project,53
Haml,39
Circom,35
Slim,34
SWIG,33
AppleScript,33
Godot Shaders,32
Cangjie,30
Mathematica,29
Logtalk,27
Specman e,26
bc,25
ProGuard,25
XSD,23
C Shell,21
F# Script,21
SugarSS,18
Glimmer JavaScript,18
Vala,17
Mako,17
kvlang,17
Templ,16
Twig,14
Xtend,13
Modelica,13
Korn Shell,12
EEx,12
Rmd,12
ClojureScript,12
Janet,11
Glimmer TypeScript,10
BrightScript,10
Nextflow,10
Stata,9
Chapel,9
Fennel,8
SurrealQL,8
Pug,8
Velocity Template Language,7
dhall,7
TTCN,7
COBOL,5
Apex Class,5
Mojo,5
Hare,5
Visual Basic Script,4
Visual Basic .NET,4
APL,3
Arturo,3
UXML,3
Pony,3
Futhark,2
Titanium Style Sheet,1
