Repo,Submodules,Slowest Job Type (Avg),Avg Duration,Longest Single Job,Max Duration,Runs Checked
utkarshkukreti/select.rs,,windows-latest - stable,1m 22s,windows-latest - stable,2m 12s,25
servo/ipc-channel,,i686-pc-windows-msvc async,4m 24s,x86_64-apple-darwin force-inprocess,14m 21s,25
rust-lang/portable-simd,,miri,61m 24s,miri,70m 12s,25
rust-cli/confy,,"Check (stable, windows-latest)",1m 11s,"Check (stable, windows-latest)",2m 47s,25
aramperes/onetun,,Dependabot,2m 6s,Dependabot,6m 5s,25
evenfurther/pathfinding,,benchmarks,2m 46s,benchmarks,4m 42s,25
microsoft/avml,,lint,9m 4s,lint,12m 33s,25
alloy-rs/alloy,,feature-checks,7m 46s,feature-checks,35m 0s,25
bitcoindevkit/bdk,,Code Coverage,3m 36s,Code Coverage,6m 14s,25
mcginty/snow,,"ci-tests (windows-latest, nightly)",3m 33s,"ci-tests (windows-latest, 1.85.0)",4m 12s,25
BurntSushi/bstr,,"test (win-msvc, windows-latest, stable)",1m 33s,"test (win-msvc, windows-latest, stable)",4m 19s,25
SamiPerttu/fundsp,,,,,,0
erickt/rust-zmq,,Build (windows-latest),2m 55s,Build (windows-latest),2m 55s,25
orhun/rustypaste,,Docker Build and Push,78m 50s,Docker Build and Push,93m 3s,25
sourcefrog/cargo-mutants,,"cargo-mutants (7, cargo)",13m 49s,"cargo-mutants (3, cargo)",18m 21s,25
lusingander/serie,,"build (x86_64-unknown-linux-musl, ubuntu-latest)",2m 20s,"build (x86_64-unknown-linux-musl, ubuntu-latest)",2m 35s,25
tesselode/kira,,clippy,1m 10s,"clippy (1.89.0, desktop, mp3)",1m 28s,25
telegram-rs/telegram-bot,,,,,,0
mattsse/chromiumoxide,,,,,,0
tqwewe/kameo,,Workspace checks,2m 49s,Workspace checks,3m 23s,25
ogxd/gxhash,,,,,,0
rust-cv/cv,,tests,7m 1s,tests,7m 9s,25
oconnor663/duct.rs,,Rust stable on windows-latest,1m 19s,Rust stable on windows-latest,2m 18s,25
matthiaskrgr/cargo-cache,,cargo-audit,1m 34s,Test (macos-nightly-debug),5m 19s,25
suptejas/volt,registry,Dependabot,0m 54s,Dependabot,0m 54s,25
general-works/Glint,,build,1m 8s,build,1m 8s,25
orhun/ratzilla,,deploy,6m 42s,deploy,7m 5s,25
pendulum-project/ntpd-rs,,test on freebsd,6m 31s,Dependabot,12m 7s,25
gimli-rs/gimli,,Run `debug_line` fuzz target,5m 9s,Run `debug_abbrev` fuzz target,5m 24s,25
Xuanwo/backon,,unit-windows,2m 2s,unit-windows,2m 12s,25
Nazariglez/notan,,Format + clippy + check + test,1m 12s,Format + clippy + check + test,1m 12s,25
warycat/rustgym,uap-core,,,,,0
aripiprazole/rinha-de-compiler,,,,,,0
heim-rs/heim,,audit,2m 46s,audit,2m 59s,25
lunatic-solutions/submillisecond,,,,,,0
dtolnay/trybuild,,Windows,1m 21s,Windows,2m 19s,25
magic-wormhole/magic-wormhole.rs,,Audit Rust Dependencies,0m 13s,Audit Rust Dependencies,0m 27s,25
Kobzol/cargo-wizard,,,,,,0
DNSCrypt/doh-server,,build,0m 56s,build,0m 56s,25
mmastrac/rust-ctor,,Check OS (windows-latest),10m 29s,Check OS (windows-latest),17m 31s,25
daboross/fern,,MSRV Compat (windows-latest),6m 17s,MSRV Compat (windows-latest),8m 47s,25
Lokathor/bytemuck,,Test Rust 1.61.0 on ubuntu-latest,3m 1s,Test Rust 1.61.0 on ubuntu-latest,7m 8s,25
fast/fastrace,,"test (windows-latest, 1.80.0)",4m 40s,"test (windows-latest, stable)",6m 10s,25
smol-rs/async-channel,,"test (ubuntu-latest, stable)",1m 28s,security_audit / security_audit,2m 47s,25
jetli/rust-yew-realworld-example-app,,,,,,0
hahwul/jwt-hack,docs/themes/goyo,dockerhub-publish,80m 13s,build,86m 20s,25
dtolnay/miniserde,,Rust 1.61.0,2m 16s,Rust 1.61.0,2m 40s,25
djc/bb8,,"test (windows-latest, stable)",2m 55s,"test (windows-latest, stable)",3m 29s,25
Gankra/cargo-mommy,,"os-test (windows-latest, --no-default-features)",1m 1s,check,3m 19s,25
nnethercote/dhat-rs,,,,,,0
image-rs/imageproc,,ubuntu / nightly,3m 26s,ubuntu / nightly,3m 38s,25
awesome-rust-com/awesome-rust,,build,0m 21s,build,0m 21s,25
8051Enthusiast/biodiff,biodiff-wfa2-sys/WFA2-lib,,,,,0
awslabs/flowgger,,Analyze (actions),0m 46s,Analyze (actions),0m 56s,25
rust-num/num-traits,,Test (1.60.0),4m 46s,Test (1.60.0),10m 59s,25
